pais,categoria,mes,salario_medio
fr,retail-jobs,2026-01,38087.72
fr,retail-jobs,2026-02,43617.25
fr,retail-jobs,2025-10,41832.36
fr,logistics-warehouse-jobs,2025-09,25114.65
fr,logistics-warehouse-jobs,2026-03,31648.66
fr,logistics-warehouse-jobs,2026-04,31723.08
fr,logistics-warehouse-jobs,2025-07,24913.32
fr,logistics-warehouse-jobs,2026-05,32634.41
fr,logistics-warehouse-jobs,2025-11,25541.82
fr,logistics-warehouse-jobs,2025-12,25824.0
fr,logistics-warehouse-jobs,2025-08,24742.92
fr,logistics-warehouse-jobs,2026-01,30292.71
fr,logistics-warehouse-jobs,2025-06,24657.1
fr,logistics-warehouse-jobs,2026-02,33296.29
fr,logistics-warehouse-jobs,2025-10,25254.89
de,it-jobs,2025-07,64351.5
de,it-jobs,2026-02,41073.64
de,it-jobs,2026-05,39462.58
de,it-jobs,2025-10,37295.34
de,it-jobs,2025-08,63933.1
de,it-jobs,2025-11,37781.51
de,it-jobs,2025-09,64645.89
de,it-jobs,2026-03,45176.24
de,it-jobs,2025-12,33021.78
de,it-jobs,2025-06,64277.29
de,it-jobs,2026-01,32388.03
de,it-jobs,2026-04,43067.61
de,accounting-finance-jobs,2025-06,60720.83
de,accounting-finance-jobs,2026-01,61381.78
de,accounting-finance-jobs,2026-02,60358.03
de,accounting-finance-jobs,2025-10,61521.47
de,accounting-finance-jobs,2025-12,61123.69
de,accounting-finance-jobs,2025-08,56653.43
de,accounting-finance-jobs,2025-07,60378.43
de,accounting-finance-jobs,2026-04,54555.95
de,accounting-finance-jobs,2026-05,57483.08
de,accounting-finance-jobs,2025-11,61466.38
de,accounting-finance-jobs,2025-09,57828.32
de,accounting-finance-jobs,2026-03,60108.2
de,retail-jobs,2025-06,32189.79
de,retail-jobs,2025-11,30526.79
de,retail-jobs,2026-01,30143.83
de,retail-jobs,2025-08,31434.82
de,retail-jobs,2025-10,29618.0
de,retail-jobs,2026-03,31839.98
de,retail-jobs,2026-02,32177.85
de,retail-jobs,2025-07,31309.75
de,retail-jobs,2025-09,30858.89
de,retail-jobs,2026-04,34286.21
de,retail-jobs,2025-12,30047.92
de,retail-jobs,2026-05,37978.4
de,logistics-warehouse-jobs,2025-06,31697.36
de,logistics-warehouse-jobs,2025-11,33260.24
de,logistics-warehouse-jobs,2025-08,31743.23
de,logistics-warehouse-jobs,2026-01,36457.04
de,logistics-warehouse-jobs,2026-03,37381.23
de,logistics-warehouse-jobs,2025-07,31806.9
de,logistics-warehouse-jobs,2026-02,37793.57
de,logistics-warehouse-jobs,2025-10,33221.75
de,logistics-warehouse-jobs,2025-09,33009.13
de,logistics-warehouse-jobs,2026-04,37181.2
de,logistics-warehouse-jobs,2026-05,37422.8
de,logistics-warehouse-jobs,2025-12,36488.72
